"FC1"	"FC2"	"FC3"
"mmu-miR-15a-5p"	-2.8116422804607	-2.08826575104245	0.723376529418251
"mmu-miR-15b-3p"	-1.77353216623343	-1.96937838425869	-0.195846218025251
"mmu-miR-15b-5p"	-3.06691425198172	-3.06189617721509	0.00501807476662438
"mmu-miR-16-1-3p"	-1.25567315392763	-2.04106171631895	-0.785388562391323
"mmu-miR-16-2-3p"	-3.32882170356053	-5.85435129076253	-2.525529587202
"mmu-miR-16-5p"	-2.4058179109589	-2.18726705277554	0.218550858183355
"mmu-miR-17-3p"	-1.07152129738132	-1.64267799857744	-0.571156701196126
"mmu-miR-17-5p"	-1.83214364851777	-1.405765106595	0.426378541922772
"mmu-miR-181a-1-3p"	-0.910219516759098	-1.52940243790547	-0.619182921146369
"mmu-miR-181a-2-3p"	-1.27749645696614	-2.97423081678615	-1.69673435982001
"mmu-miR-181a-5p"	-1.88164238814241	-1.743589090388	0.138053297754414
"mmu-miR-181b-1-3p"	-0.604862058158861	-0.178597303456763	0.426264754702098
"mmu-miR-181b-2-3p"	-1.92599941855622	-1.92599941855622	0
"mmu-miR-181b-5p"	-1.64214988929344	-1.96099158032936	-0.318841691035924
"mmu-miR-181c-3p"	-1.7738820890765	-2.3574500077259	-0.583567918649403
"mmu-miR-181c-5p"	-0.343301745679929	-0.290449863414194	0.0528518822657352
"mmu-miR-181d-5p"	-0.911170590281166	-1.30827225586773	-0.397101665586564
"mmu-miR-182-5p"	-1.07772981111177	-0.940206245616169	0.137523565495601
"mmu-miR-183-5p"	-0.523412118914438	-1.18332964851175	-0.659917529597312
"mmu-miR-1839-5p"	-2.01859259633927	-1.2331320915351	0.785460504804177
"mmu-miR-184-3p"	-1.59631342505768	-0.471922562820494	1.12439086223719
"mmu-miR-1843a-3p"	-1.68483278984608	-1.2028522349408	0.481980554905281
"mmu-miR-1843a-5p"	-0.656338383165356	0.431646835707979	1.08798521887333
"mmu-miR-1843b-3p"	-1.33522491750082	-2.68072148352659	-1.34549656602577
"mmu-miR-1843b-5p"	-0.927696965920666	0.23650595203849	1.16420291795916
"mmu-miR-185-3p"	-3.70188025250031	-2.66488604501811	1.0369942074822
"mmu-miR-185-5p"	-2.09702445439486	-1.89552046629915	0.201503988095711
"mmu-miR-186-5p"	-2.17693771812009	-2.46761080527616	-0.290673087156074
"mmu-miR-187-3p"	0.558294550259076	0.503432615224558	-0.0548619350345184
"mmu-miR-188-5p"	2.88466064822505	3.58606505716831	0.701404408943261
"mmu-miR-18a-3p"	-2.66888498426625	-3.82758273028531	-1.15869774601906
"mmu-miR-18a-5p"	-1.63135540620561	-1.23769155771933	0.393663848486277
"mmu-miR-191-3p"	-1.40761655916164	-1.45689746193286	-0.0492809027712188
"mmu-miR-191-5p"	-1.36973744784684	-1.62724018010349	-0.257502732256653
"mmu-miR-192-5p"	-1.31982938890617	-1.62776094212362	-0.307931553217452
"mmu-miR-1933-3p"	-1.24100809950379	-1.0815298854966	0.159478214007197
"mmu-miR-1934-3p"	-3.35755200461808	-4.08453351021167	-0.726981505593584
"mmu-miR-1934-5p"	-0.822654058440487	-4.08138832684065	-3.25873426840017
"mmu-miR-193a-5p"	-2.01588304160666	-2.3720572727123	-0.356174231105642
"mmu-miR-193b-5p"	-4.74202867417966	-6.46901017977325	-1.72698150559358
"mmu-miR-194-5p"	-2.83015354035703	-2.14957041608834	0.680583124268687
"mmu-miR-1943-5p"	-3	-0.816081726478188	2.18391827352181
"mmu-miR-1945"	-3.46287892025577	-3.85282543857178	-0.389946518316014
"mmu-miR-1947-5p"	-1.90916793631958	-2.39186238570169	-0.482694449382106
"mmu-miR-195a-3p"	-2.78295548919281	-3.63126605919956	-0.848310570006754
"mmu-miR-195a-5p"	-1.19890406841408	-0.951636978438601	0.247267089975477
"mmu-miR-1960"	-1.81096617560998	-2.21759143507263	-0.406625259462644
"mmu-miR-1964-3p"	-1.74429907737518	-2.32772152986984	-0.583422452494667
"mmu-miR-1966-3p"	0.922657911466835	-2.64981364507112	-3.57247155653796
"mmu-miR-1968-5p"	4.73395684429387	6.54689445988764	1.81293761559377
"mmu-miR-196a-2-3p"	-1.55208321200728	-3.4706814671816	-1.91859825517432
"mmu-miR-196a-5p"	-1.55037303527759	-1.22006765191732	0.330305383360276
"mmu-miR-196b-5p"	-2.34557596218605	-2.0658371729066	0.279738789279448
"mmu-miR-1981-3p"	-0.419736835814664	-0.878580199585141	-0.458843363770477
"mmu-miR-1981-5p"	-0.747990928912151	-0.652292941563484	0.0956979873486672
"mmu-miR-1983"	-2.30918898305668	-1.83970369975546	0.46948528330122
"mmu-miR-199a-3p"	-0.694798572346504	1.07732635473227	1.77212492707877
"mmu-miR-199a-5p"	-0.270717427887326	-0.505173879209266	-0.23445645132194
"mmu-miR-199b-3p"	-0.776152248589223	1.09011903137684	1.86627127996606
"mmu-miR-199b-5p"	0.387618729920228	0.288585650013445	-0.0990330799067829
"mmu-miR-19a-3p"	-2.51995753760573	-2.75368502848523	-0.233727490879504
"mmu-miR-19b-3p"	-2.46561460684773	-3.35890227082734	-0.893287663979609
"mmu-miR-1a-3p"	2.2265082376321	4.64296301012878	2.41645477249668
"mmu-miR-200a-3p"	-3.80792598488636	-5.68350615025125	-1.87558016536488
"mmu-miR-200a-5p"	-3.23446525363702	-4.6338721012021	-1.39940684756508
